rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
172,frame_0311.jpg,124.4,0.3646,0.4882,0.375,0.04,4,3,False,False
173,frame_0192.jpg,76.8,0.3641,0.4233,0.375,0.2,4,3,False,False
174,frame_0002.jpg,0.8,0.3639,0.2529,0.125,1.0,6,1,False,False
175,frame_0201.jpg,80.4,0.3634,0.3528,0.25,0.56,4,2,False,False
176,frame_0105.jpg,42.0,0.3614,0.4658,0.375,0.08,5,3,False,False
177,frame_0225.jpg,90.0,0.3594,0.4618,0.375,0.08,6,3,False,False
178,frame_0382.jpg,152.8,0.3581,0.4592,0.375,0.08,4,3,False,False
179,frame_0384.jpg,153.6,0.3578,0.4265,0.375,0.16,7,3,False,False
180,frame_0186.jpg,74.4,0.3568,0.5476,0.25,0.04,6,2,False,False
181,frame_0277.jpg,110.8,0.3503,0.4386,0.25,0.28,5,2,False,False
182,frame_0016.jpg,6.4,0.3445,0.2139,0.125,1.0,6,1,False,False
183,frame_0386.jpg,154.4,0.3445,0.4431,0.25,0.24,6,2,False,False
184,frame_0267.jpg,106.8,0.3436,0.4891,0.25,0.12,4,2,False,False
185,frame_0080.jpg,32.0,0.3415,0.304,0.125,0.76,4,1,False,False
186,frame_0117.jpg,46.8,0.3401,0.3701,0.25,0.4,5,2,False,False
187,frame_0273.jpg,109.2,0.3396,0.4812,0.25,0.12,3,2,False,False
188,frame_0174.jpg,69.6,0.3393,0.4006,0.25,0.32,5,2,False,False
189,frame_0109.jpg,43.6,0.3375,0.4179,0.375,0.08,3,3,False,False
190,frame_0091.jpg,36.4,0.3367,0.4704,0.125,0.32,3,1,False,False
191,frame_0181.jpg,72.4,0.3345,0.428,0.375,0.04,6,3,False,False
192,frame_0383.jpg,153.2,0.3311,0.3892,0.375,0.12,8,3,False,False
193,frame_0221.jpg,88.4,0.3251,0.4043,0.25,0.24,5,2,False,False
194,frame_0118.jpg,47.2,0.3241,0.3973,0.125,0.44,2,1,False,False
195,frame_0381.jpg,152.4,0.3239,0.4068,0.375,0.04,4,3,False,False
196,frame_0319.jpg,127.6,0.3235,0.385,0.25,0.28,7,2,False,False
197,frame_0081.jpg,32.4,0.3214,0.2797,0.125,0.72,3,1,False,False
198,frame_0101.jpg,40.4,0.3177,0.4534,0.25,0.08,3,2,False,False
199,frame_0193.jpg,77.2,0.3177,0.3895,0.25,0.24,4,2,False,False
200,frame_0274.jpg,109.6,0.3159,0.4928,0.125,0.16,5,1,False,False
201,frame_0180.jpg,72.0,0.3152,0.4484,0.25,0.08,4,2,False,False
202,frame_0223.jpg,89.2,0.3146,0.3402,0.375,0.16,5,3,False,False
203,frame_0371.jpg,148.4,0.3133,0.3696,0.375,0.08,5,3,False,False
204,frame_0295.jpg,118.0,0.3123,0.3526,0.0,0.68,6,0,False,False
205,frame_0084.jpg,33.6,0.3114,0.3077,0.125,0.6,2,1,False,False
206,frame_0316.jpg,126.4,0.3107,0.3325,0.375,0.16,5,3,False,False
207,frame_0229.jpg,91.6,0.3097,0.3624,0.375,0.08,7,3,False,False
208,frame_0204.jpg,81.6,0.3085,0.2701,0.125,0.68,2,1,False,False
209,frame_0282.jpg,112.8,0.3072,0.3473,0.125,0.48,4,1,False,False
210,frame_0100.jpg,40.0,0.3069,0.5227,0.125,0.04,2,1,False,False
211,frame_0092.jpg,36.8,0.3067,0.4265,0.125,0.28,2,1,False,False
212,frame_0222.jpg,88.8,0.3063,0.3826,0.25,0.2,5,2,False,False
213,frame_0214.jpg,85.6,0.3036,0.3242,0.125,0.52,2,1,False,False
214,frame_0219.jpg,87.6,0.3023,0.4016,0.125,0.32,3,1,False,False
215,frame_0003.jpg,1.2,0.3018,0.2035,0.0,1.0,5,0,False,False
216,frame_0200.jpg,80.0,0.2975,0.312,0.125,0.52,2,1,False,False
217,frame_0373.jpg,149.2,0.2974,0.4558,0.125,0.16,7,1,False,False
218,frame_0094.jpg,37.6,0.2972,0.3643,0.25,0.2,5,2,False,False
219,frame_0228.jpg,91.2,0.2972,0.4284,0.25,0.04,4,2,False,False
220,frame_0372.jpg,148.8,0.2959,0.3937,0.25,0.12,7,2,False,False
221,frame_0082.jpg,32.8,0.2934,0.2399,0.125,0.68,4,1,False,False
222,frame_0212.jpg,84.8,0.2914,0.2678,0.125,0.6,2,1,False,False
